Send: NumberOfMessages 1000, MessageSize 16384, Concurrency 64, TimeInMs 7709
Receive: NumberOfMessages 1000, MessageSize 16384, Concurrency 64, TimeInMs 6181
Send: NumberOfMessages 1000, MessageSize 65536, Concurrency 64, TimeInMs 7381
Receive: NumberOfMessages 1000, MessageSize 65536, Concurrency 64, TimeInMs 6769
Send: NumberOfMessages 1000, MessageSize 262144, Concurrency 64, TimeInMs 7466
Receive: NumberOfMessages 1000, MessageSize 262144, Concurrency 64, TimeInMs 6265
Send: NumberOfMessages 1000, MessageSize 1048576, Concurrency 64, TimeInMs 8227
Receive: NumberOfMessages 1000, MessageSize 1048576, Concurrency 64, TimeInMs 6256
Send: NumberOfMessages 1000, MessageSize 4194304, Concurrency 64, TimeInMs 7469
Receive: NumberOfMessages 1000, MessageSize 4194304, Concurrency 64, TimeInMs 6308
Send: NumberOfMessages 1000, MessageSize 16777216, Concurrency 64, TimeInMs 7506
Receive: NumberOfMessages 1000, MessageSize 16777216, Concurrency 64, TimeInMs 6241
Send: NumberOfMessages 1000, MessageSize 1024, Concurrency 128, TimeInMs 7477
Receive: NumberOfMessages 1000, MessageSize 1024, Concurrency 128, TimeInMs 6891
Send: NumberOfMessages 1000, MessageSize 4096, Concurrency 128, TimeInMs 7624
Receive: NumberOfMessages 1000, MessageSize 4096, Concurrency 128, TimeInMs 6262
Send: NumberOfMessages 1000, MessageSize 16384, Concurrency 128, TimeInMs 7513
Receive: NumberOfMessages 1000, MessageSize 16384, Concurrency 128, TimeInMs 6289
Send: NumberOfMessages 1000, MessageSize 65536, Concurrency 128, TimeInMs 7934
Receive: NumberOfMessages 1000, MessageSize 65536, Concurrency 128, TimeInMs 6636
Send: NumberOfMessages 1000, MessageSize 262144, Concurrency 128, TimeInMs 7470
Receive: NumberOfMessages 1000, MessageSize 262144, Concurrency 128, TimeInMs 7511
Send: NumberOfMessages 1000, MessageSize 1048576, Concurrency 128, TimeInMs 7585
Receive: NumberOfMessages 1000, MessageSize 1048576, Concurrency 128, TimeInMs 6218
Send: NumberOfMessages 1000, MessageSize 4194304, Concurrency 128, TimeInMs 7547
Receive: NumberOfMessages 1000, MessageSize 4194304, Concurrency 128, TimeInMs 6103
Send: NumberOfMessages 1000, MessageSize 16777216, Concurrency 128, TimeInMs 7817
Receive: NumberOfMessages 1000, MessageSize 16777216, Concurrency 128, TimeInMs 8791
