Send: NumberOfMessages 10000, MessageSize 16384, Concurrency 128, TimeInMs 4108
Receive: NumberOfMessages 10000, MessageSize 16384, Concurrency 128, TimeInMs 14650
Send: NumberOfMessages 10000, MessageSize 65536, Concurrency 128, TimeInMs 4375
Receive: NumberOfMessages 10000, MessageSize 65536, Concurrency 128, TimeInMs 15851
Send: NumberOfMessages 10000, MessageSize 262144, Concurrency 128, TimeInMs 4130
Receive: NumberOfMessages 10000, MessageSize 262144, Concurrency 128, TimeInMs 16075
Send: NumberOfMessages 10000, MessageSize 1048576, Concurrency 128, TimeInMs 4887
Receive: NumberOfMessages 10000, MessageSize 1048576, Concurrency 128, TimeInMs 17732
Send: NumberOfMessages 10000, MessageSize 4194304, Concurrency 128, TimeInMs 4722
Receive: NumberOfMessages 10000, MessageSize 4194304, Concurrency 128, TimeInMs 18351
Send: NumberOfMessages 10000, MessageSize 16777216, Concurrency 128, TimeInMs 4619
Receive: NumberOfMessages 10000, MessageSize 16777216, Concurrency 128, TimeInMs 19018
