Receive: NumberOfMessages 10000, MessageSize 16384, Concurrency 64, TimeInMs 10841
Send: NumberOfMessages 10000, MessageSize 65536, Concurrency 64, TimeInMs 2841
Receive: NumberOfMessages 10000, MessageSize 65536, Concurrency 64, TimeInMs 13410
Send: NumberOfMessages 10000, MessageSize 262144, Concurrency 64, TimeInMs 2802
Receive: NumberOfMessages 10000, MessageSize 262144, Concurrency 64, TimeInMs 10074
Send: NumberOfMessages 10000, MessageSize 1048576, Concurrency 64, TimeInMs 2679
Receive: NumberOfMessages 10000, MessageSize 1048576, Concurrency 64, TimeInMs 7742
Send: NumberOfMessages 10000, MessageSize 4194304, Concurrency 64, TimeInMs 2530
Receive: NumberOfMessages 10000, MessageSize 4194304, Concurrency 64, TimeInMs 12527
Send: NumberOfMessages 10000, MessageSize 16777216, Concurrency 64, TimeInMs 2776
Receive: NumberOfMessages 10000, MessageSize 16777216, Concurrency 64, TimeInMs 12520
Send: NumberOfMessages 10000, MessageSize 67108864, Concurrency 64, TimeInMs 3008
Receive: NumberOfMessages 10000, MessageSize 67108864, Concurrency 64, TimeInMs 11411
Send: NumberOfMessages 10000, MessageSize 1024, Concurrency 128, TimeInMs 2707
Receive: NumberOfMessages 10000, MessageSize 1024, Concurrency 128, TimeInMs 13054
Send: NumberOfMessages 10000, MessageSize 4096, Concurrency 128, TimeInMs 2601
Receive: NumberOfMessages 10000, MessageSize 4096, Concurrency 128, TimeInMs 12135
Send: NumberOfMessages 10000, MessageSize 16384, Concurrency 128, TimeInMs 2604
Receive: NumberOfMessages 10000, MessageSize 16384, Concurrency 128, TimeInMs 12600
Send: NumberOfMessages 10000, MessageSize 65536, Concurrency 128, TimeInMs 3040
Receive: NumberOfMessages 10000, MessageSize 65536, Concurrency 128, TimeInMs 13337
Send: NumberOfMessages 10000, MessageSize 262144, Concurrency 128, TimeInMs 2695
Receive: NumberOfMessages 10000, MessageSize 262144, Concurrency 128, TimeInMs 11787
Send: NumberOfMessages 10000, MessageSize 1048576, Concurrency 128, TimeInMs 2526
Receive: NumberOfMessages 10000, MessageSize 1048576, Concurrency 128, TimeInMs 10323
Send: NumberOfMessages 10000, MessageSize 4194304, Concurrency 128, TimeInMs 2553
Receive: NumberOfMessages 10000, MessageSize 4194304, Concurrency 128, TimeInMs 12284
Send: NumberOfMessages 10000, MessageSize 16777216, Concurrency 128, TimeInMs 2572
Receive: NumberOfMessages 10000, MessageSize 16777216, Concurrency 128, TimeInMs 14995
Send: NumberOfMessages 10000, MessageSize 67108864, Concurrency 128, TimeInMs 2953
Receive: NumberOfMessages 10000, MessageSize 67108864, Concurrency 128, TimeInMs 10631
Send: NumberOfMessages 10000, MessageSize 1024, Concurrency 256, TimeInMs 2540
Receive: NumberOfMessages 10000, MessageSize 1024, Concurrency 256, TimeInMs 11681
Send: NumberOfMessages 10000, MessageSize 4096, Concurrency 256, TimeInMs 2519
Receive: NumberOfMessages 10000, MessageSize 4096, Concurrency 256, TimeInMs 12848
Send: NumberOfMessages 10000, MessageSize 16384, Concurrency 256, TimeInMs 2708
Receive: NumberOfMessages 10000, MessageSize 16384, Concurrency 256, TimeInMs 11382
Send: NumberOfMessages 10000, MessageSize 65536, Concurrency 256, TimeInMs 2322
Receive: NumberOfMessages 10000, MessageSize 65536, Concurrency 256, TimeInMs 12041
Send: NumberOfMessages 10000, MessageSize 262144, Concurrency 256, TimeInMs 2622
Receive: NumberOfMessages 10000, MessageSize 262144, Concurrency 256, TimeInMs 12744
Send: NumberOfMessages 10000, MessageSize 1048576, Concurrency 256, TimeInMs 2767
Receive: NumberOfMessages 10000, MessageSize 1048576, Concurrency 256, TimeInMs 12444
Send: NumberOfMessages 10000, MessageSize 4194304, Concurrency 256, TimeInMs 2735
Receive: NumberOfMessages 10000, MessageSize 4194304, Concurrency 256, TimeInMs 12553
Send: NumberOfMessages 10000, MessageSize 16777216, Concurrency 256, TimeInMs 2545
Receive: NumberOfMessages 10000, MessageSize 16777216, Concurrency 256, TimeInMs 11259
Send: NumberOfMessages 10000, MessageSize 67108864, Concurrency 256, TimeInMs 2869
Receive: NumberOfMessages 10000, MessageSize 67108864, Concurrency 256, TimeInMs 10364
